"node","name","layer","measure","scenario","weighted_stress_value","weighted_normal_value","weighted_difference","retained_stress_weight","positive_demand_coverage","resolved_flow_coverage","annual_demand_mwh","median_demand_mwh","maximum_demand_mwh"
"WALC","Western Area Power Administration - Desert Southwest Region","ba","raw_net_import_ratio","mid",-0.0959971611864314,0.0622731288913913,-0.158270290077823,1,1,0.993150684931507,9017249,1006,1995
"JEA","JEA","ba","raw_net_import_ratio","mid",0.225968645635354,0.288485804068423,-0.0625171584330698,1,1,0.998630136986301,13821267,1473.5,2968
"SC","South Carolina Public Service Authority","ba","raw_net_import_ratio","mid",0.207844956073814,0.262949531278427,-0.0551045752046134,1,1,0.999657534246575,27564912,2983,5304
"NY","New York","region","raw_net_import_ratio","mid",0.0747519543436493,0.115218639451414,-0.0404666851077647,1,0.999771689497717,0.986680595455733,151531697,16827.5,31857
"PSEI","Puget Sound Energy, Inc.","ba","raw_net_import_ratio","mid",0.623151664246228,0.660196098015356,-0.0370444337691274,1,1,0.999771689497717,24862492,2753,4935
"FMPP","Florida Municipal Power Pool","ba","raw_net_import_ratio","mid",0.00779588553734612,0.0401964576275804,-0.0324005720902343,1,0.999771689497717,0.99851598173516,19195277,2067,3978
"LDWP","Los Angeles Department of Water and Power","ba","raw_net_import_ratio","mid",0.210214932486654,0.235901785075769,-0.0256868525891153,1,1,0.999771689497717,24635828,2742,5823
"EPE","El Paso Electric Company","ba","raw_net_import_ratio","mid",0.289047230765192,0.31036599404083,-0.0213187632756385,1,1,1,9163045,936,2409
"BANC","Balancing Authority of Northern California","ba","raw_net_import_ratio","mid",0.247125966416278,0.266899925311779,-0.0197739588955013,1,1,0.999429223744292,17565972,1882,4239
"SWPP","Southwest Power Pool","ba","raw_net_import_ratio","mid",-0.0154398567315867,0.00372435271003782,-0.0191642094416245,1,1,0.965981735159817,299819813,33138.5,54745
"TEPC","Tucson Electric Power","ba","raw_net_import_ratio","mid",0.204008778642074,0.220359425995209,-0.016350647353135,1,0.999885844748858,0.999657534246575,14474691,1526.5,3448
"CAL","California","region","raw_net_import_ratio","mid",0.0276594419045974,0.0418507806139083,-0.0141913387093109,1,1,0.962822854161231,272690883,30160,54517
"FPC","Duke Energy Florida, Inc.","ba","raw_net_import_ratio","mid",0.154295148719427,0.16700171158979,-0.0127065628703629,1,1,0.998744292237443,58123074,6122,12583
"FLA","Florida","region","raw_net_import_ratio","mid",0.0179689211587103,0.0226552981960561,-0.0046863770373458,1,1,0.996996996996997,267786696,28751.5,54587
"TEC","Tampa Electric Company","ba","raw_net_import_ratio","mid",0.175954791533518,0.177698948275733,-0.00174415674221501,1,1,0.999657534246575,22371795,2394,4560
"TEX","Texas","region","raw_net_import_ratio","mid",0.000117444315444445,0.000164462517096357,-4.70182016519119e-05,1,1,0.99921660791226,488100254,53399.5,83597
